time,open,high,low,close,count,avg,upArrow2,dnArrow2,upArrow2r,dnArrow2r
2024-07-17 15:57:00,1.95,1.98,1.83,1.83,0.0,0.0,False,True,False,True
2024-07-17 15:59:00,1.84,1.86,1.81,1.84,0.0,0.0,False,True,False,True
2024-07-18 09:44:00,2.08,2.09,1.82,1.85,0.0,0.0,False,True,False,True
2024-07-18 09:46:00,1.78,1.78,1.65,1.74,0.0,0.0,False,True,False,True
2024-07-18 09:48:00,1.93,2.07,1.92,2.0,0.0,0.0,True,False,True,False
2024-07-18 09:50:00,2.01,2.14,1.9,2.09,0.0,0.0,True,False,True,False
2024-07-18 09:55:00,2.04,2.04,1.9,1.91,0.0,0.0,False,True,False,True
2024-07-18 09:58:00,2.08,2.38,2.08,2.33,0.0,0.0,True,False,True,False
2024-07-18 10:00:00,2.25,2.28,2.2,2.27,0.0,0.0,True,False,True,False
2024-07-18 10:02:00,2.2,2.24,2.14,2.2,0.0,0.0,False,True,False,True
2024-07-18 10:05:00,2.37,2.56,2.36,2.45,0.0,0.0,True,False,True,False
2024-07-18 10:08:00,2.58,2.67,2.51,2.67,0.0,0.0,True,False,True,False
2024-07-18 10:21:00,2.48,2.48,2.31,2.39,0.0,0.0,False,True,False,True
2024-07-18 10:25:00,2.46,2.59,2.46,2.48,0.0,0.0,True,False,True,False
2024-07-18 10:27:00,2.36,2.37,2.18,2.19,0.0,0.0,False,True,False,True
2024-07-18 10:30:00,2.05,2.07,1.96,2.05,0.0,0.0,False,True,False,True
2024-07-18 10:32:00,1.93,1.93,1.75,1.78,0.0,0.0,False,True,False,True
2024-07-18 10:36:00,1.69,1.72,1.56,1.58,0.0,0.0,False,True,False,True
2024-07-18 10:39:00,1.59,1.65,1.53,1.53,0.0,0.0,False,True,False,True
2024-07-18 10:41:00,1.46,1.47,1.35,1.38,0.0,0.0,False,True,False,True
2024-07-18 10:43:00,1.32,1.34,1.2,1.25,0.0,0.0,False,True,False,True
2024-07-18 11:09:00,1.38,1.38,1.26,1.27,0.0,0.0,False,True,False,True
2024-07-18 11:11:00,1.26,1.32,1.24,1.24,0.0,0.0,False,True,False,True
2024-07-18 11:15:00,1.13,1.14,1.06,1.06,0.0,0.0,False,True,False,True
2024-07-18 11:19:00,1.04,1.07,1.01,1.02,0.0,0.0,False,True,False,True
2024-07-18 11:21:00,0.99,1.07,0.95,0.97,0.0,0.0,False,True,False,True
2024-07-18 11:24:00,0.97,1.0,0.88,0.9,0.0,0.0,False,True,False,True
2024-07-18 11:28:00,0.94,0.97,0.9,0.9,0.0,0.0,False,True,False,True
2024-07-18 11:36:00,1.05,1.14,1.03,1.08,0.0,0.0,True,False,True,False
2024-07-18 11:38:00,1.16,1.23,1.15,1.23,0.0,0.0,True,False,True,False
2024-07-18 11:40:00,1.27,1.46,1.26,1.44,0.0,0.0,True,False,True,False
2024-07-18 11:43:00,1.33,1.44,1.3,1.43,0.0,0.0,True,False,True,False
2024-07-18 11:46:00,1.4,1.48,1.39,1.47,0.0,0.0,True,False,True,False
2024-07-18 11:53:00,1.48,1.55,1.43,1.48,0.0,0.0,True,False,True,False
2024-07-18 11:55:00,1.36,1.38,1.31,1.31,0.0,0.0,False,True,False,True
2024-07-18 11:58:00,1.34,1.46,1.34,1.38,0.0,0.0,True,False,True,False
2024-07-18 12:02:00,1.3,1.3,1.17,1.2,0.0,0.0,False,True,False,True
2024-07-18 12:04:00,1.18,1.19,1.14,1.14,0.0,0.0,False,True,False,True
2024-07-18 12:06:00,1.2,1.3,1.2,1.3,0.0,0.0,True,False,True,False
2024-07-18 12:08:00,1.4,1.56,1.4,1.53,0.0,0.0,True,False,True,False
2024-07-18 12:10:00,1.59,1.74,1.57,1.71,0.0,0.0,True,False,True,False
2024-07-18 12:12:00,1.64,1.71,1.63,1.67,0.0,0.0,True,False,True,False
2024-07-18 12:28:00,1.64,1.77,1.64,1.76,0.0,0.0,True,False,True,False
