time,open,high,low,close,Volume,count,avg,upArrow2,dnArrow2,upArrow2r,dnArrow2r
2024-01-19 11:05:00,416.18,416.651,416.15,416.5,95431,6,4.278118760544972,True,False,True,False
2024-01-23 15:10:00,422.84,423.29,422.84,423.2,88121,6,3.4111470862176745,True,False,True,False
2024-01-29 15:15:00,427.26,427.97,427.24,427.95,99975,8,7.161449619405314,True,False,True,False
2024-01-31 09:35:00,421.28,421.45,420.39,420.62,132474,-4,-0.09001310465866386,False,True,False,True
2024-02-02 09:30:00,423.8,424.11,422.78,423.94,489177,10,5.345106211351147,True,False,True,False
2024-02-09 09:30:00,433.94,433.985,433.38,433.67,157096,8,1.6055833800595183,True,False,True,False
2024-02-13 09:30:00,427.28,427.51,426.28,427.27,462598,-8,-4.258591280974487,False,True,False,True
2024-02-14 15:35:00,432.25,432.79,432.22,432.78,78891,6,2.8840795032231394,True,False,True,False
2024-02-16 15:45:00,430.73,430.97,430.101,430.18,134652,-8,-3.2492371709278745,False,True,False,True
2024-02-22 09:30:00,434.49,435.05,433.7,433.88,487770,6,1.2165059171220212,True,False,True,False
2024-02-29 15:45:00,438.81,439.32,438.79,439.125,134630,4,1.1099898559445376,True,False,True,False
2024-03-06 12:10:00,441.26,441.75,441.26,441.66,54940,8,5.501900029012004,True,False,True,False
2024-03-07 14:00:00,446.57,446.66,446.16,446.61,60862,4,5.1887085556858565,True,False,False,False
2024-03-11 09:30:00,437.51,437.84,435.84,435.99,471736,-8,-2.8397529411172635,False,True,False,True
2024-03-12 10:45:00,442.06,442.65,441.89,442.65,174357,8,5.380527050973502,True,False,True,False
2024-03-14 13:10:00,438.46,438.61,438.0,438.23,36711,-6,-2.6116354843993106,False,True,False,True
2024-03-18 10:10:00,439.9,440.45,439.89,440.02,108688,4,3.133377531107876,True,False,True,False
2024-03-20 14:00:00,438.76,441.08,438.76,440.869,342067,4,-3.6055459766492364,True,False,True,False
2024-04-01 09:35:00,446.16,447.27,446.16,447.19,175877,6,1.1276789898261257,True,False,True,False
2024-04-02 09:35:00,439.6,440.15,439.1,439.17,177488,-6,-2.033529473396726,False,True,False,True
2024-04-04 09:30:00,446.35,446.58,446.05,446.53,307263,4,-2.8697933592824345,True,False,True,False
2024-04-04 15:00:00,438.84,438.84,437.53,437.64,302358,-6,-4.491464956852504,False,True,False,True
2024-04-09 10:40:00,438.94,439.28,437.69,438.04,229939,-4,-0.7477974642397383,False,True,False,True
2024-04-11 11:55:00,440.59,441.61,440.54,441.49,114679,10,5.543540558495889,True,False,True,False
2024-04-15 12:20:00,438.36,438.56,437.22,437.29,67958,-6,-1.4689985047683007,False,True,False,True
2024-04-17 11:25:00,429.13,429.44,428.53,428.53,71485,-6,-4.869006829108895,False,True,False,True
